Name,Content types,Label,Group name,Type,Required,Description,Default,Search weight,Filter logic,UI visibility,Display weight,Choices,ID,Cloneable,Created,Last updated
dhcp_group,dcim.interface,DHCP Group,,Text,False,,,1000,Loose,Read/Write,100,[],18,False,2023-07-19 15:26,2023-07-20 13:15
dhcp_pools,dcim.interface,DHCP Pools,,Multiple objects,False,,,1000,Loose,Read/Write,100,[],19,False,2023-07-20 13:22,2023-07-20 13:22
primary_root_bridge,ipam.vlangroup,Primary Root Bridge,,Object,False,,,1000,Loose,Read/Write,100,[],10,False,2023-06-24 11:57,2023-06-24 12:03
secondary_root_bridge,ipam.vlangroup,Secondary Root Bridge,,Object,False,,,1000,Loose,Read/Write,100,[],11,False,2023-06-24 12:04,2023-06-24 12:04
vc_role,dcim.device,Virtual Chassis Role,,Selection,False,,,1000,Loose,Read/Write,100,"['RE', 'LC']",7,False,2023-06-19 13:38,2023-06-19 13:38
vrf_instance_type,ipam.vrf,VRF Instance Type,,Selection,True,Used to define VRF instance type,,1000,Loose,Read/Write,100,"['evpn', 'evpn-vpws', 'forwarding', 'l2backhaul-vpn', 'l2vpn', 'layer2-control', 'mac-vrf', 'mpls-forwarding', 'mpls-internet-multicast', 'no-forwarding', 'virtual-router', 'virtual-switch', 'vpls', 'vrf']",12,False,2023-07-11 08:50,2023-07-11 09:21
dhcp_pool_dns,ipam.prefix,DHCP Pool DNS,DHCP Pool Parameters,Text (long),False,,,1000,Loose,Read/Write,100,[],17,False,2023-07-19 11:46,2023-07-20 13:19
dhcp_pool_gw,ipam.prefix,DHCP Pool Gateway,DHCP Pool Parameters,Multiple objects,False,,,1000,Loose,Read/Write,100,[],16,False,2023-07-19 11:43,2023-07-20 13:18
dhcp_pool_ranges,ipam.prefix,DHCP Pool Ranges,DHCP Pool Parameters,Multiple objects,False,,,1000,Loose,Read/Write,100,[],14,False,2023-07-19 11:12,2023-07-20 13:14
